,Unnamed: 0,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
56,86,9599,2011.0,chevrolet camaro,good,6.0,gas,100680.0,manual,coupe,silver,0.0,2018-10-26,18
57,89,18800,2015.0,chevrolet camaro lt coupe 2d,good,6.0,gas,33926.0,other,coupe,grey,0.0,2019-01-16,152
58,90,18000,2010.0,ram 1500,good,8.0,gas,50500.0,automatic,truck,white,1.0,2018-06-16,11
59,91,2800,2010.0,chevrolet colorado,good,5.0,gas,200800.0,automatic,pickup,other,0.0,2018-07-24,10
60,92,2950,2003.0,chevrolet silverado,good,8.0,gas,230000.0,automatic,pickup,other,0.0,2018-05-06,24
61,93,32000,2017.0,honda pilot,like new,6.0,gas,32104.0,automatic,SUV,white,0.0,2018-07-12,100
62,94,8995,2012.0,toyota rav4,excellent,4.0,gas,124526.0,automatic,SUV,black,1.0,2018-12-14,24
63,95,9995,2017.0,hyundai sonata,excellent,4.0,gas,105985.0,automatic,sedan,white,0.0,2018-05-02,18
64,96,24600,2013.0,ford mustang gt coupe 2d,good,8.0,gas,22474.0,other,coupe,white,0.0,2018-10-28,22
65,97,6500,2012.0,ford fusion se,excellent,6.0,gas,90000.0,automatic,sedan,grey,0.0,2018-09-20,94
66,98,3995,2008.0,subaru forester,excellent,4.0,gas,165000.0,automatic,SUV,white,1.0,2018-12-24,19
67,100,26000,2015.0,chevrolet silverado 1500 crew,good,8.0,gas,92281.0,automatic,pickup,white,1.0,2019-04-02,82
68,101,18700,2017.0,nissan frontier crew cab sv,good,6.0,gas,40002.0,other,pickup,white,0.0,2018-06-01,44
69,103,5500,2004.0,ford explorer,good,6.0,gas,140355.0,automatic,SUV,white,1.0,2018-09-10,35
70,104,22900,2014.0,ford f150 supercrew cab xlt,good,6.0,gas,73711.0,automatic,pickup,white,1.0,2019-02-27,141
71,105,26700,2015.0,ford f150 supercrew cab xlt,good,6.0,gas,48278.0,other,pickup,brown,1.0,2018-09-22,64
72,107,19700,2017.0,chevrolet camaro lt coupe 2d,good,6.0,gas,35807.0,other,coupe,black,0.0,2019-03-11,33
73,109,22800,2013.0,ford f-350 sd,good,8.0,diesel,207738.0,automatic,truck,brown,1.0,2018-11-08,62
74,112,22500,2019.0,nissan frontier crew cab sv,good,6.0,gas,24209.0,other,pickup,other,1.0,2019-03-03,73
75,113,24600,2014.0,chevrolet silverado 1500 crew,good,6.0,gas,85048.0,automatic,pickup,silver,1.0,2018-08-19,96
76,115,21900,2018.0,nissan frontier crew cab sv,good,6.0,gas,27576.0,other,pickup,other,1.0,2018-11-22,58
77,117,4600,2012.0,nissan versa,good,4.0,gas,146000.0,automatic,sedan,other,0.0,2018-06-07,32
78,121,4800,2006.0,honda accord,like new,4.0,gas,195000.0,automatic,sedan,silver,0.0,2018-12-12,49
79,122,4500,2012.0,chevrolet impala,excellent,6.0,gas,145000.0,automatic,sedan,white,0.0,2018-10-10,38
80,123,21595,2015.0,chevrolet silverado 1500,excellent,8.0,gas,92634.0,automatic,truck,black,1.0,2018-11-15,53
81,124,37000,2018.0,chevrolet silverado 1500 crew,good,8.0,gas,30465.0,other,pickup,white,1.0,2019-01-13,55
82,127,10999,2010.0,ford edge,good,6.0,gas,98193.0,automatic,SUV,blue,1.0,2018-08-11,78
83,128,2900,2000.0,nissan maxima,good,6.0,gas,170000.0,automatic,sedan,green,0.0,2018-09-23,12
84,129,2700,2005.0,chevrolet equinox,good,6.0,gas,150352.0,automatic,SUV,silver,0.0,2019-04-02,49
85,131,9500,2009.0,ford f-250,good,8.0,gas,189490.0,automatic,truck,white,1.0,2018-08-03,6
86,132,4900,2011.0,nissan sentra,good,4.0,gas,116000.0,automatic,sedan,silver,0.0,2018-11-30,19
87,136,24700,2015.0,ford mustang gt coupe 2d,good,8.0,gas,37270.0,other,coupe,black,0.0,2019-04-16,41
88,137,26900,2014.0,chevrolet silverado 1500 crew,good,8.0,gas,68607.0,automatic,pickup,black,1.0,2018-07-28,18
89,139,19500,2014.0,ford f150,excellent,8.0,gas,116000.0,automatic,truck,grey,1.0,2018-06-26,40
90,141,13995,2010.0,chevrolet silverado 1500,excellent,8.0,gas,151442.0,automatic,truck,silver,1.0,2018-12-20,72
91,143,11995,2012.0,chevrolet suburban,excellent,8.0,gas,158487.0,automatic,SUV,grey,1.0,2018-11-10,16
92,145,15995,2013.0,jeep wrangler,excellent,6.0,gas,138806.0,automatic,SUV,black,1.0,2018-09-08,112
93,146,7995,2012.0,chevrolet cruze,excellent,4.0,gas,81559.0,automatic,sedan,black,0.0,2018-12-16,57
94,148,6995,2004.0,ford expedition,excellent,8.0,gas,92546.0,automatic,SUV,blue,1.0,2018-05-23,18
95,149,13900,2016.0,dodge grand caravan,excellent,6.0,gas,62711.0,automatic,van,black,0.0,2019-04-11,37
96,151,14995,2011.0,jeep wrangler,excellent,6.0,gas,118371.0,automatic,SUV,orange,1.0,2019-01-25,49
97,152,25600,2017.0,ford mustang gt coupe 2d,good,8.0,gas,42957.0,other,coupe,other,0.0,2019-01-24,83
98,153,12990,2011.0,ford expedition,good,8.0,gas,124775.0,automatic,SUV,custom,1.0,2018-06-11,50
99,154,6300,2010.0,ford taurus,excellent,6.0,gas,155743.0,automatic,sedan,other,0.0,2018-11-01,30
100,156,17300,2014.0,chevrolet camaro lt coupe 2d,good,6.0,gas,27915.0,other,coupe,red,0.0,2019-01-16,25
101,157,26700,2017.0,ford mustang gt coupe 2d,good,8.0,gas,26192.0,other,coupe,black,0.0,2019-02-14,17
102,158,18975,2012.0,chevrolet silverado 1500,excellent,8.0,gas,24390.0,automatic,truck,white,0.0,2018-11-15,61
103,160,31800,2018.0,chevrolet silverado 1500 crew,good,8.0,gas,22838.0,automatic,pickup,white,1.0,2019-01-29,29
104,161,3995,1999.0,acura tl,good,6.0,gas,180000.0,automatic,sedan,black,0.0,2018-06-19,52
105,162,18600,2012.0,ford mustang gt coupe 2d,good,8.0,gas,96562.0,other,coupe,red,0.0,2018-12-20,14
106,166,3995,2001.0,ford ranger,good,6.0,gas,102000.0,automatic,truck,brown,0.0,2018-05-27,79
107,168,7975,2007.0,gmc sierra,excellent,8.0,gas,228409.0,automatic,truck,white,0.0,2018-10-27,15
108,169,9950,2008.0,toyota 4runner,excellent,6.0,gas,207348.0,automatic,SUV,other,1.0,2018-10-28,11
109,170,3595,2005.0,chevrolet impala,good,6.0,gas,147667.0,automatic,sedan,red,0.0,2018-11-12,30
110,171,9850,2008.0,chevrolet silverado 1500,good,8.0,gas,182225.0,automatic,truck,blue,1.0,2018-08-15,36
111,172,18600,2012.0,ford mustang gt coupe 2d,good,8.0,gas,96562.0,other,coupe,red,0.0,2018-07-31,59
112,174,5995,2006.0,ford ranger,good,6.0,gas,148600.0,automatic,truck,silver,1.0,2018-11-10,35
113,175,6900,2011.0,subaru outback,excellent,6.0,gas,135445.0,automatic,SUV,other,1.0,2018-11-02,57
114,181,7500,1997.0,ford mustang,good,8.0,gas,185000.0,manual,coupe,white,0.0,2019-01-05,9
115,182,11950,2003.0,jeep wrangler,excellent,6.0,gas,97211.0,automatic,SUV,custom,1.0,2018-08-01,15
116,183,16950,2010.0,jeep wrangler,excellent,6.0,gas,85490.0,other,SUV,red,1.0,2018-12-26,29
117,185,6500,2009.0,hyundai santa fe,good,6.0,gas,98000.0,manual,SUV,other,0.0,2019-03-18,27
118,187,15000,2009.0,toyota tacoma,excellent,6.0,gas,221000.0,automatic,truck,black,1.0,2019-02-20,30
119,188,52000,2008.0,ford f350 super duty,good,8.0,diesel,117500.0,automatic,truck,grey,1.0,2018-06-27,24
120,189,10950,2011.0,ford expedition,excellent,8.0,gas,130390.0,automatic,SUV,other,1.0,2018-12-23,33
121,191,3950,2009.0,subaru impreza,excellent,4.0,gas,137882.0,automatic,hatchback,silver,1.0,2018-08-22,19
122,192,5295,2005.0,ford f-150,good,8.0,gas,225000.0,automatic,pickup,white,1.0,2018-06-19,15
123,194,8999,2013.0,ford escape,excellent,4.0,gas,122964.0,automatic,wagon,other,1.0,2018-06-03,31
124,195,5999,2012.0,nissan versa,excellent,4.0,gas,76737.0,automatic,sedan,silver,0.0,2018-07-31,3
125,197,10000,2006.0,ford f-150,excellent,8.0,gas,181000.0,automatic,truck,silver,1.0,2018-07-17,9
126,198,17999,2008.0,gmc sierra 2500hd,excellent,8.0,diesel,101959.0,automatic,truck,white,1.0,2018-05-06,46
127,200,7999,2012.0,nissan rogue,excellent,4.0,gas,93496.0,automatic,wagon,black,0.0,2018-10-15,29
128,202,28200,2012.0,ford f-350 sd,excellent,8.0,diesel,129000.0,automatic,truck,black,1.0,2018-07-15,30
129,204,22914,2015.0,bmw x5,excellent,6.0,gas,69686.0,automatic,SUV,white,1.0,2018-08-11,19
130,205,19900,2013.0,ford f-150,excellent,6.0,gas,79657.0,automatic,truck,silver,1.0,2018-10-30,42
131,207,24495,2016.0,ford explorer,excellent,6.0,gas,50123.0,automatic,SUV,white,1.0,2018-11-17,49
132,208,5300,2010.0,dodge charger,good,8.0,gas,156000.0,automatic,sedan,white,0.0,2018-07-04,43
133,209,22900,2015.0,gmc sierra 1500,excellent,8.0,gas,85190.0,automatic,truck,custom,1.0,2018-05-15,24
134,210,14685,2011.0,toyota tacoma,excellent,6.0,gas,145671.0,automatic,truck,black,1.0,2019-01-03,8
135,211,24869,2015.0,gmc sierra 1500,excellent,8.0,gas,82056.0,automatic,truck,black,1.0,2019-03-20,23
136,213,4999,2005.0,toyota camry le,excellent,4.0,gas,105000.0,automatic,sedan,silver,0.0,2019-03-01,60
137,214,7800,2012.0,chevrolet traverse,good,6.0,gas,157000.0,automatic,SUV,blue,1.0,2018-11-30,4
138,215,12500,2009.0,cadillac escalade,excellent,8.0,gas,159000.0,automatic,SUV,other,1.0,2018-10-01,26
139,216,4975,2007.0,honda odyssey,excellent,6.0,gas,205000.0,automatic,mini-van,brown,0.0,2018-10-28,35
140,217,2795,2003.0,volkswagen jetta,good,4.0,gas,178950.0,manual,sedan,other,0.0,2018-05-20,98
141,220,41800,2018.0,chevrolet silverado 3500hd,good,8.0,gas,148459.0,automatic,truck,other,1.0,2019-03-19,11
142,221,10800,2015.0,toyota camry,excellent,4.0,gas,28150.0,automatic,sedan,black,1.0,2018-09-25,24
143,223,7995,2008.0,jeep grand cherokee,excellent,6.0,gas,104613.0,automatic,SUV,silver,1.0,2018-05-23,23
144,224,22500,2013.0,ford f-250 sd,good,8.0,gas,128415.0,automatic,truck,green,1.0,2019-03-03,32
145,225,9995,2013.0,chrysler town & country,excellent,6.0,gas,81999.0,automatic,van,other,0.0,2019-01-07,71
146,226,6995,2005.0,honda accord,like new,6.0,gas,45429.0,automatic,sedan,grey,0.0,2018-11-04,53
147,227,11795,2015.0,toyota tacoma,excellent,4.0,gas,111048.0,automatic,truck,white,0.0,2018-09-30,30
148,229,6995,2011.0,hyundai sonata,excellent,4.0,gas,117371.0,automatic,sedan,grey,1.0,2019-02-26,20
149,230,6795,2013.0,volkswagen passat,excellent,5.0,gas,119453.0,automatic,sedan,red,0.0,2018-12-12,19
150,231,6795,2012.0,volkswagen jetta,excellent,5.0,gas,104310.0,automatic,sedan,white,0.0,2019-03-11,16
151,232,7995,2014.0,chevrolet cruze,excellent,4.0,gas,120052.0,automatic,sedan,blue,0.0,2018-10-27,27
152,233,25800,2015.0,toyota tacoma,like new,6.0,gas,49900.0,automatic,pickup,white,1.0,2018-07-24,39
153,234,8595,2010.0,toyota prius,excellent,4.0,gas,99630.0,automatic,hatchback,white,0.0,2019-02-05,44
154,235,8995,2010.0,toyota prius,excellent,4.0,gas,74138.0,automatic,hatchback,white,0.0,2018-07-09,38
155,237,7100,2004.0,ford f-150,good,8.0,gas,121000.0,automatic,truck,other,1.0,2019-03-10,23
156,239,4795,2007.0,nissan altima,excellent,4.0,gas,131020.0,automatic,sedan,grey,0.0,2018-10-19,31
157,240,6500,2009.0,ford f-250,good,8.0,gas,113000.0,automatic,pickup,white,1.0,2018-09-09,19
158,243,9799,2017.0,nissan altima,excellent,4.0,gas,51153.0,automatic,sedan,silver,1.0,2018-06-23,35
159,244,11799,2014.0,chevrolet camaro,excellent,6.0,gas,50468.0,automatic,coupe,yellow,0.0,2018-12-30,39
160,245,5700,2002.0,chevrolet silverado 1500,good,8.0,gas,105000.0,automatic,pickup,silver,1.0,2018-06-17,68
161,246,3700,2009.0,nissan rogue,good,4.0,gas,174902.0,automatic,SUV,black,0.0,2019-03-14,31
162,249,11799,2015.0,chevrolet camaro,excellent,6.0,gas,26881.0,automatic,coupe,red,0.0,2019-02-03,21
163,250,9299,2016.0,nissan altima,excellent,4.0,gas,47833.0,automatic,sedan,silver,0.0,2019-01-19,75
164,251,3750,2007.0,jeep grand cherokee laredo,fair,6.0,gas,131800.0,automatic,SUV,grey,1.0,2018-06-29,50
165,252,3800,2012.0,nissan altima,good,4.0,gas,186576.0,automatic,sedan,black,0.0,2019-01-02,37
166,253,7995,2011.0,subaru forester,good,4.0,gas,112000.0,automatic,SUV,blue,1.0,2019-02-12,53
167,255,5500,1981.0,chevrolet corvette,fair,8.0,gas,75000.0,automatic,coupe,blue,0.0,2019-01-15,49
168,256,9100,2014.0,kia sorento,good,4.0,gas,100100.0,automatic,SUV,silver,1.0,2018-08-30,74
169,258,18675,2015.0,ram 1500,good,8.0,gas,86115.0,automatic,truck,other,1.0,2018-11-11,7
170,264,13889,2005.0,gmc sierra 2500hd,good,8.0,gas,95914.0,automatic,truck,custom,1.0,2018-07-13,37
171,265,5000,2011.0,toyota camry le,excellent,4.0,gas,173000.0,automatic,sedan,white,0.0,2018-06-26,19
172,267,3250,2001.0,ford f150,fair,8.0,gas,296000.0,automatic,truck,black,1.0,2018-12-07,24
173,268,28200,2012.0,ford f-350 sd,excellent,8.0,diesel,129000.0,automatic,truck,black,1.0,2018-09-26,28
174,271,22914,2015.0,bmw x5,excellent,6.0,gas,69686.0,automatic,SUV,white,1.0,2018-07-07,9
175,272,22900,2015.0,gmc sierra 1500,excellent,8.0,gas,85190.0,automatic,truck,other,1.0,2018-08-24,11
176,273,19900,2013.0,ford f-150,excellent,6.0,gas,79657.0,automatic,truck,silver,1.0,2019-03-01,4
177,275,24869,2015.0,gmc sierra 1500,excellent,8.0,gas,82056.0,automatic,truck,black,1.0,2018-06-29,22
178,276,22399,2011.0,gmc sierra 2500hd,excellent,8.0,gas,121047.0,automatic,pickup,other,1.0,2018-05-17,66
179,278,17379,2007.0,jeep wrangler,excellent,6.0,gas,111921.0,automatic,SUV,other,1.0,2018-12-26,50
180,279,5999,2012.0,nissan altima,excellent,4.0,gas,99000.0,automatic,sedan,black,0.0,2018-12-27,28
181,282,10900,2012.0,toyota tacoma,excellent,4.0,gas,132000.0,manual,pickup,red,1.0,2018-10-10,46
182,284,3500,2004.0,toyota camry,fair,4.0,gas,155000.0,automatic,sedan,white,0.0,2018-11-16,33
183,286,35999,2015.0,ram 2500,good,6.0,diesel,157558.0,automatic,truck,grey,1.0,2018-12-13,59
184,287,31999,2011.0,ram 3500,good,6.0,diesel,148128.0,automatic,truck,other,1.0,2018-11-21,64
185,288,28999,2012.0,ram 2500,good,6.0,diesel,146875.0,automatic,truck,silver,1.0,2018-07-22,51
186,289,32999,2012.0,ram 3500,good,6.0,diesel,126201.0,automatic,truck,silver,1.0,2018-10-26,58
187,290,7800,2010.0,nissan frontier,excellent,6.0,gas,160266.0,automatic,truck,red,1.0,2018-08-06,55
188,291,14999,2016.0,honda cr-v,excellent,4.0,gas,32000.0,automatic,SUV,grey,1.0,2018-08-10,66
189,292,19999,2015.0,gmc sierra,excellent,8.0,gas,43000.0,automatic,truck,white,1.0,2019-04-01,63
190,293,4999,2008.0,chrysler town & country,excellent,6.0,gas,129448.0,automatic,mini-van,white,0.0,2018-06-15,13
191,295,15600,2016.0,subaru outback,excellent,4.0,gas,106700.0,automatic,wagon,black,1.0,2018-05-08,40
192,301,14999,2013.0,ford f-150,good,6.0,gas,52520.0,automatic,truck,white,1.0,2018-05-02,23
193,302,7999,2013.0,ford focus,good,4.0,gas,127230.0,automatic,sedan,red,0.0,2018-09-28,9
194,303,9877,2010.0,toyota corolla,good,4.0,gas,153510.0,automatic,sedan,white,0.0,2018-07-06,17
195,306,8850,2017.0,nissan versa,good,4.0,gas,31501.0,automatic,sedan,white,0.0,2018-12-28,42
196,307,24900,2016.0,chevrolet silverado 1500,excellent,8.0,gas,32000.0,automatic,truck,silver,1.0,2019-01-29,5
197,308,3900,2016.0,ford explorer,excellent,6.0,gas,52000.0,automatic,SUV,blue,0.0,2018-08-18,10
198,311,2700,2016.0,honda civic,excellent,4.0,gas,27000.0,automatic,sedan,white,0.0,2018-06-20,73
199,312,13500,2012.0,gmc sierra 1500,excellent,8.0,gas,143000.0,automatic,truck,silver,0.0,2019-02-18,81
200,313,12750,2011.0,gmc sierra 2500hd,good,8.0,gas,226000.0,automatic,truck,white,1.0,2018-10-28,29
201,314,9500,2015.0,nissan altima,excellent,4.0,gas,84000.0,automatic,sedan,red,0.0,2019-02-07,34
202,315,6500,2012.0,dodge grand caravan,good,6.0,gas,119156.0,automatic,mini-van,other,0.0,2018-09-11,14
203,316,3000,2016.0,nissan rogue,excellent,4.0,gas,58000.0,automatic,SUV,blue,0.0,2019-03-04,14
204,320,5500,2017.0,ford explorer,excellent,6.0,gas,25000.0,automatic,SUV,grey,1.0,2019-03-01,10
205,321,11900,2005.0,ford f250 super duty,good,8.0,diesel,119358.0,automatic,truck,blue,0.0,2018-05-27,62
206,324,15250,2011.0,ford f-150,excellent,8.0,gas,97000.0,automatic,truck,grey,1.0,2019-03-30,37
207,326,2800,2002.0,honda accord,fair,6.0,gas,211000.0,automatic,sedan,other,0.0,2018-12-10,18
208,327,9700,2000.0,toyota 4runner,excellent,6.0,gas,200116.0,automatic,SUV,other,1.0,2018-11-10,17
209,328,10000,1995.0,chevrolet corvette,good,8.0,gas,127807.0,automatic,coupe,other,0.0,2019-01-08,30
210,329,4500,2009.0,jeep liberty,good,6.0,gas,171000.0,automatic,SUV,black,1.0,2019-01-23,16
211,331,11295,2015.0,nissan altima,excellent,4.0,gas,80148.0,automatic,sedan,other,0.0,2018-08-16,35
212,333,5900,2007.0,ram 2500,good,8.0,gas,229000.0,automatic,pickup,white,1.0,2018-07-10,61
213,334,13000,2004.0,chevrolet corvette,good,8.0,gas,85104.0,automatic,convertible,blue,0.0,2018-10-12,127
214,337,5999,2007.0,chrysler 300,excellent,6.0,gas,122000.0,automatic,sedan,grey,0.0,2018-12-05,6
215,338,6000,2005.0,subaru outback,excellent,4.0,gas,148000.0,automatic,wagon,blue,0.0,2018-06-26,47
216,340,12995,2009.0,chevrolet suburban,excellent,8.0,gas,157976.0,automatic,SUV,white,1.0,2018-12-17,32
217,342,15800,2009.0,gmc sierra 1500,excellent,8.0,gas,150000.0,automatic,truck,white,0.0,2018-07-03,36
218,343,4000,2005.0,honda pilot,excellent,6.0,gas,167000.0,automatic,SUV,red,1.0,2018-05-12,8
219,344,17999,1996.0,chevrolet corvette,excellent,8.0,gas,30469.0,manual,convertible,other,0.0,2018-05-10,59
220,345,19995,2012.0,chevrolet tahoe,good,8.0,gas,129516.0,automatic,SUV,other,1.0,2019-03-28,61
221,347,2999,2004.0,volkswagen jetta,good,4.0,gas,149000.0,manual,sedan,silver,0.0,2018-07-31,15
222,349,5999,2002.0,bmw x5,excellent,6.0,gas,153000.0,automatic,SUV,white,1.0,2018-05-23,82
223,350,6999,2006.0,acura tl,excellent,6.0,gas,169269.0,automatic,sedan,white,0.0,2018-09-15,28
224,351,8600,2012.0,ford mustang,excellent,6.0,gas,126000.0,automatic,coupe,black,0.0,2018-06-07,45
225,353,28000,2017.0,chevrolet silverado,like new,8.0,gas,53000.0,automatic,truck,white,1.0,2019-01-17,91
226,355,25000,2015.0,chevrolet silverado,good,8.0,gas,150000.0,automatic,truck,white,1.0,2019-03-08,75
227,356,4000,2002.0,ford escape,good,6.0,gas,98000.0,automatic,SUV,silver,1.0,2019-01-27,11
228,357,16600,1975.0,chevrolet corvette,excellent,8.0,gas,75000.0,manual,coupe,other,0.0,2019-03-09,69
229,359,12500,2017.0,subaru impreza,like new,4.0,gas,25000.0,automatic,wagon,grey,1.0,2019-02-18,78
230,360,44900,2017.0,gmc sierra 2500hd,good,8.0,diesel,23455.0,automatic,pickup,other,1.0,2018-06-10,89
231,362,5900,2013.0,nissan altima,good,4.0,gas,57075.0,automatic,sedan,white,0.0,2019-02-22,44
232,363,8875,2012.0,toyota prius,good,4.0,gas,129843.0,automatic,hatchback,other,0.0,2018-12-28,60
233,364,18875,2015.0,ford explorer,good,6.0,gas,83823.0,automatic,SUV,white,0.0,2019-01-27,13
234,365,6975,2018.0,nissan sentra,good,4.0,gas,34611.0,automatic,sedan,other,0.0,2018-09-14,30
235,366,34275,2018.0,jeep wrangler,good,6.0,gas,27403.0,automatic,SUV,black,1.0,2018-12-23,11
236,367,11675,2012.0,gmc acadia,good,6.0,gas,113417.0,automatic,SUV,white,1.0,2018-11-16,39
237,368,24995,2016.0,subaru outback,good,6.0,gas,32889.0,automatic,SUV,grey,1.0,2018-11-06,48
